Genus,Species,Accession/Planting,Inventory Date,Status,Inventory Note,Measurement Date,Height,Height Unit,DBH,DBH Unit,Measurement Note,Location Details/Directions to Site,Inventory Latitude,Inventory Longitude
Carnegiea,gigantea,1966-8295-01-1,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,20.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4604389,-111.9442294
Carnegiea,gigantea,1970-1021-01-1,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,22.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4602771,-111.9448278
Carnegiea,gigantea,1970-9909-01-1,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,25.1,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4602243,-111.9443447
Carnegiea,gigantea,1971-0130-01-1,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,8.6,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599415,-111.9427742
Carnegiea,gigantea,1972-0180-01-1,3/29/19 19:33,Alive,"Saguaro Inventory 2019, VN, 2/15/19",2/27/15 0:00,6,feet,,inches,0 arms. 0 buds.,,33.4609004,-111.9448526
Carnegiea,gigantea,1976-0079-01-1,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,17.5,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4607423,-111.945156
Carnegiea,gigantea,1976-0235-01-1,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,14.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4593412,-111.9446111
Carnegiea,gigantea,1976-0379-01-10,2/26/20 13:42,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:42,23.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4597065,-111.9443708
Carnegiea,gigantea,1976-0379-01-11,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,18,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4596734,-111.94429
Carnegiea,gigantea,1976-0379-01-12,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,19.2,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4596155,-111.9442195
Carnegiea,gigantea,1976-0379-01-13,2/26/20 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:41,15.8,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4596519,-111.9442294
Carnegiea,gigantea,1976-0379-01-14,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,15.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4597414,-111.944285
Carnegiea,gigantea,1976-0379-01-15,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,19.6,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4596472,-111.9441563
Carnegiea,gigantea,1976-0379-01-16,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,17.8,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4595947,-111.9441564
Carnegiea,gigantea,1976-0379-01-18,2/26/20 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:41,25.8,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4598262,-111.943933
Carnegiea,gigantea,1976-0379-01-2,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,19.5,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4600377,-111.9443074
Carnegiea,gigantea,1976-0379-01-20,2/26/20 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:41,19,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4597334,-111.9438287
Carnegiea,gigantea,1976-0379-01-21,2/26/20 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:41,12.9,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4597889,-111.9439899
Carnegiea,gigantea,1976-0379-01-22,2/26/20 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:41,10.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4597831,-111.9438593
Carnegiea,gigantea,1976-0379-01-23,2/26/20 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:41,14.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.459254,-111.9440509
Carnegiea,gigantea,1976-0379-01-24,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,10.8,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.","CAP borrow pit, in the vicinity of the given coordinates.",33.4594492,-111.9446866
