Accession/Planting,Inventory Date,Status,Inventory Note,Measurement Date,Height,Height Unit,Measurement Note
1947-1548-01-1,1/31/2013 0:00,Dead,,,,,
1947-1600-01-1,1/21/1992 0:00,Dead,,,,,
1949-2064-01-1,9/1/1985 0:00,Dead,,,,,
1966-8295-01-2,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1966-8295-01-3,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1966-8295-01-4,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1966-8295-01-5,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1966-8304-01-1,9/1/2015 0:00,Dead,Not caged. No herbivory. Uprooted completely during monsoon storm.,2/25/2015 0:00,28.95,feet,2 arms. 0 buds.
1969-9559-01-1,7/9/2012 0:00,Dead,NOTE: This inventory date was found to be invalid during import and was modified.,,,,
1969-9560-01-1,6/14/1999 0:00,Dead,,4/5/1999 0:00,9,feet,
1970-1021-01-2,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1970-1022-01-1,7/9/2012 0:00,Dead,NOTE: This inventory date was found to be invalid during import and was modified.,,,,
1970-9800-14-1,7/9/2012 0:00,Dead,NOTE: This inventory date was found to be invalid during import and was modified.,,,,
1970-9926-01-1,7/9/2012 0:00,Dead,NOTE: This inventory date was found to be invalid during import and was modified.,,,,
1976-0370-01-1,10/1/1992 0:00,Dead,,,,,
1976-0371-01-1,1/21/1983 0:00,Dead,,,,,
1976-0379-01-1,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1976-0379-01-17,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1976-0379-01-19,3/23/2016 0:00,Dead,"This plant has never been mapped during the saguaro inventories, VN, 3/23/16.",2/25/2013 21:09,15.9,feet,0 arms. Sg&cs
1977-0387-01-1,7/9/2012 0:00,Dead,NOTE: This inventory date was found to be invalid during import and was modified.,,,,
1977-0387-01-2,3/23/2017 0:00,Dead,"Plant listed as dead with cause of death as unable to locate, assumed dead. Plant found in Garden grounds during 2012 mapping and inventory for IMLS Living Collections grant; status changed to alive. Missing, VN, 3-21-17.",,,,
1977-0887-01-1,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1977-1447-01-1,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1978-0463-01-1,7/28/1994 0:00,Dead,,,,,
1978-0489-01-1,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1978-0500-01-1,5/5/2013 0:00,Dead,,5/13/2013 11:29,18.5,feet,5arms. 1 bud.
1978-0501-01-1,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
1978-0533-01-1,7/28/1994 0:00,Dead,,,,,
1978-0542-01-12,2/17/2017 0:00,Dead,"Not caged.  Old herbivory. No date. Found dead during saguaro inventory, VN, 2/17/17.",1/4/2013 16:55,20.6,feet,1 bud.  8 arms.  jbt
1978-0542-01-2,3/23/2016 18:28,Dead,"""This plant has not been found for several saguaro inventories, VN, 3/23/16.""",,,,
