ID,Lat,Long
1,33.4604389,-111.9442294
2,33.4602771,-111.9448278
3,33.4602243,-111.9443447
4,33.4599415,-111.9427742
5,33.4609004,-111.9448526
6,33.4607423,-111.9451560
7,33.4593412,-111.9446111
8,33.4597065,-111.9443708
9,33.4596734,-111.9442900
10,33.4596155,-111.9442195
11,33.4596519,-111.9442294
12,33.4597414,-111.9442850
13,33.4596472,-111.9441563
14,33.4595947,-111.9441564
15,33.4598262,-111.9439330
16,33.4600377,-111.9443074
17,33.4597334,-111.9438287
18,33.4597889,-111.9439899
19,33.4597831,-111.9438593
20,33.4592540,-111.9440509
21,33.4594492,-111.9446866
22,33.4593407,-111.9444758
23,33.4594469,-111.9449124
24,33.4593757,-111.9448465
25,33.4592717,-111.9441741
26,33.4596703,-111.9444708
27,33.4599328,-111.9443291
28,33.4597485,-111.9444001
29,33.4601066,-111.9441693
30,33.4597624,-111.9444430
31,33.4596580,-111.9443793
32,33.4594487,-111.9438590
33,33.4594940,-111.9438244
34,33.4619002,-111.9455623
35,33.4593532,-111.9436934
36,33.4619200,-111.9454704
37,33.4591630,-111.9437690
38,33.4592397,-111.9437110
39,33.4592242,-111.9440336
40,33.4593364,-111.9436570
41,33.4594276,-111.9437264
42,33.4618990,-111.9455266
43,33.4591266,-111.9440396
44,33.4591322,-111.9439863
45,33.4589598,-111.9438414
46,33.4592706,-111.9438898
47,33.4591898,-111.9438906
48,33.4589562,-111.9437549
49,33.4589297,-111.9437537
50,33.4592858,-111.9440998
51,33.4594420,-111.9441187
52,33.4595685,-111.9441706
53,33.4593563,-111.9440271
54,33.4592993,-111.9439075
55,33.4595189,-111.9440562
56,33.4589440,-111.9440095
57,33.4591790,-111.9441234
58,33.4603522,-111.9450246
59,33.4601220,-111.9428570
60,33.4614994,-111.9451212
61,33.4595200,-111.9443401
62,33.4596145,-111.9444084
63,33.4594383,-111.9440503
64,33.4596028,-111.9438383
65,33.4596052,-111.9443521
66,33.4592518,-111.9438847
67,33.4592930,-111.9438894
68,33.4595714,-111.9442933
69,33.4594741,-111.9436847
70,33.4595687,-111.9441015
71,33.4596703,-111.9442572
72,33.4595396,-111.9442546
73,33.4595666,-111.9441949
74,33.4589842,-111.9436435
75,33.4598675,-111.9437840
76,33.4599603,-111.9436724
77,33.4589575,-111.9437092
78,33.4589455,-111.9437491
79,33.4590155,-111.9437753
80,33.4600461,-111.9438243
81,33.4600788,-111.9437435
82,33.4600791,-111.9437535
83,33.4589693,-111.9436898
84,33.4627928,-111.9477290
85,33.4591624,-111.9436427
86,33.4592904,-111.9435885
87,33.4593081,-111.9435726
88,33.4594242,-111.9434840
89,33.4593734,-111.9434941
90,33.4598268,-111.9437423
91,33.4598246,-111.9437351
92,33.4625188,-111.9481169
93,33.4593913,-111.9436235
94,33.4593377,-111.9437059
95,33.4603422,-111.9445781
96,33.4626150,-111.9479614
97,33.4594257,-111.9436801
98,33.4603445,-111.9437750
99,33.4594267,-111.9438483
100,33.4604256,-111.9447631
101,33.4603823,-111.9445763
102,33.4603864,-111.9448437
103,33.4591316,-111.9437457
104,33.4595357,-111.9449754
105,33.4600033,-111.9432024
106,33.4599863,-111.9432129
107,33.4625886,-111.9475808
108,33.4600844,-111.9432072
109,33.4594029,-111.9424935
110,33.4596688,-111.9425762
111,33.4596704,-111.9422965
112,33.4597583,-111.9428750
113,33.4621000,-111.9463864
114,33.4596188,-111.9429106
115,33.4596213,-111.9428823
116,33.4595714,-111.9428553
117,33.4594771,-111.9428977
118,33.4597209,-111.9429006
119,33.4590786,-111.9424444
120,33.4589447,-111.9424227
121,33.4601166,-111.9432656
122,33.4590166,-111.9424429
123,33.4589939,-111.9423702
124,33.4601880,-111.9431181
125,33.4601511,-111.9432687
126,33.4601900,-111.9431123
127,33.4621990,-111.9465094
128,33.4599916,-111.9452501
129,33.4600101,-111.9427476
130,33.4599188,-111.9427882
131,33.4599421,-111.9427956
132,33.4599514,-111.9428102
133,33.4600059,-111.9429438
134,33.4600026,-111.9429910
135,33.4600165,-111.9430050
136,33.4600752,-111.9429066
137,33.4600225,-111.9427291
138,33.4600835,-111.9432027
139,33.4600634,-111.9429342
140,33.4600573,-111.9428855
141,33.4598575,-111.9428029
142,33.4598966,-111.9427198
143,33.4600382,-111.9432849
144,33.4601281,-111.9426117
145,33.4597547,-111.9427455
146,33.4598265,-111.9427562
147,33.4600511,-111.9426910
148,33.4601610,-111.9427125
149,33.4600134,-111.9430264
150,33.4601058,-111.9429771
151,33.4600716,-111.9430822
152,33.4600762,-111.9431365
153,33.4600850,-111.9431532
154,33.4600768,-111.9431690
155,33.4600992,-111.9431692
156,33.4598022,-111.9435136
157,33.4603891,-111.9435967
158,33.4598176,-111.9434809
159,33.4598671,-111.9435391
160,33.4598840,-111.9434832
161,33.4598926,-111.9434566
162,33.4597237,-111.9434229
163,33.4599199,-111.9433105
164,33.4600415,-111.9431504
165,33.4600210,-111.9430964
166,33.4599450,-111.9431269
167,33.4599116,-111.9428679
168,33.4601637,-111.9431148
169,33.4601247,-111.9429894
170,33.4600221,-111.9430210
171,33.4601056,-111.9426712
172,33.4600989,-111.9427277
