Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"85008, USA",1/1/12,80,47,63.3,46,,0,,15,,9.9,17.1,36.14,Clear
"85008, USA",1/2/12,79.1,56.9,66.7,,,0,,17.2,,9.9,1.3,22.38,Clear
"85008, USA",1/3/12,74.9,53.9,63.1,,,0,,10.3,,9.9,38.3,29.66,Partially cloudy
"85008, USA",1/4/12,79.1,48.8,62.1,47,,0,,9.2,,9.9,17.5,33.66,Clear
"85008, USA",1/5/12,77.1,50.1,62,,,0,,12.8,,9.9,29.2,28.54,Partially cloudy
"85008, USA",1/6/12,73.1,47.9,59.1,44.7,,0,,9.2,,9.9,20,34.58,Clear
"85008, USA",1/7/12,70.1,47,57.9,43.8,,0,,11.4,,9.9,13.8,36.32,Clear
"85008, USA",1/8/12,65.9,47,56.5,48,,0,,13.9,,9.9,23.3,27.1,Clear
"85008, USA",1/9/12,65.9,46.1,55.7,44.9,,0,,5.8,,9.9,47.5,28.2,Partially cloudy
"85008, USA",1/10/12,65.9,44,55,40,,0,,9.2,,9.9,42.1,37.01,Partially cloudy
"85008, USA",1/11/12,65,44.9,54,41,,0,,9.2,,9.9,68.3,40.62,Partially cloudy
"85008, USA",1/12/12,64.1,46.1,54.4,45,,0,,5.8,,9.9,70.4,31.97,Partially cloudy
"85008, USA",1/13/12,69.2,38,55.5,40.6,,0,,13.9,,9.9,5,18.9,Clear
"85008, USA",1/14/12,71,44.9,58.2,41.6,,0,,16.1,,9.9,68.8,20.66,Partially cloudy
"85008, USA",1/15/12,62,53.9,58.4,,,0,,8.1,,9.9,95,32.73,Overcast
"85008, USA",1/16/12,65.9,53,58.2,,,0,,10.3,,9.9,72.5,55.62,Partially cloudy
"85008, USA",1/17/12,68.1,47,56.6,44.9,,0,,9.2,,9.9,30.8,52.36,Partially cloudy
"85008, USA",1/18/12,65.9,44,54.9,40.6,,0,,8.1,,9.9,35,45.92,Partially cloudy
"85008, USA",1/19/12,69.2,44,56.1,38.9,,0,,9.2,,9.9,15,42.55,Clear
"85008, USA",1/20/12,70.1,43.1,56.4,40.3,,0,,9.2,,9.9,41.7,38.06,Partially cloudy
"85008, USA",1/21/12,71,47.9,57.9,44.7,,0,,23,40.3,9.9,64.2,36.95,Partially cloudy
"85008, USA",1/22/12,62,46.1,54.6,45,,0,,11.4,,9.7,65.4,31.73,Partially cloudy
"85008, USA",1/23/12,62,42.2,53.5,39.2,,0,,15,,9.9,82.1,37.43,Overcast
"85008, USA",1/24/12,66.8,46.1,57.4,42.6,,0,,12.8,,9.9,51.7,42.95,Partially cloudy
"85008, USA",1/25/12,69.2,46.1,58,43.9,,0,,9.2,,9.9,30.4,26.16,Partially cloudy
"85008, USA",1/26/12,73.1,44.9,58.3,41.7,,0,,8.1,,9.9,16.3,31.63,Clear
"85008, USA",1/27/12,69.2,47.9,58.5,44.7,,0,,8.1,,9.9,67.5,36.91,Partially cloudy
"85008, USA",1/28/12,75.8,47,61.7,44.2,,0,,13.9,,9.9,49.2,20.22,Partially cloudy
"85008, USA",1/29/12,78.2,47,62.6,,,0,,15,,9.9,75,19.17,Partially cloudy
"85008, USA",1/30/12,73.1,50.1,60.8,,,0,,9.2,,9.9,48.8,26.96,Partially cloudy
"85008, USA",1/31/12,73.1,51.2,61,,,0,,8.1,,9.9,60,27.85,Partially cloudy
"85008, USA",2/1/12,74.9,48.8,60.2,48,,0,,9.2,,9.9,60.8,28.95,Partially cloudy
"85008, USA",2/2/12,68.1,46.1,56.9,42.6,,0,,17.2,,9.9,40,32.66,Partially cloudy
"85008, USA",2/3/12,65.9,44.9,55.8,41.7,,0,,8.1,,9.9,27.5,35.11,Partially cloudy
"85008, USA",2/4/12,69.2,46.1,57.2,47,,0,,5.8,,9.9,39.2,31.2,Partially cloudy
"85008, USA",2/5/12,71,44.9,57.5,42.4,,0,,9.2,,9.9,40.8,30.63,Partially cloudy
"85008, USA",2/6/12,66.8,47,57.7,44.9,,0,,6.9,,9.9,85,32.3,Overcast
"85008, USA",2/7/12,73.1,51.2,63.1,,,0,,15,,9.9,92.5,22.94,Overcast
"85008, USA",2/8/12,73.1,55.1,65,,,0,,6.9,,9.9,87.5,28.02,Overcast
"85008, USA",2/9/12,75.8,53,64.8,,,0,,10.3,,9.9,33.3,31,Partially cloudy
"85008, USA",2/10/12,79.1,53,65,,,0,,9.2,,9.9,12.5,29.9,Clear
"85008, USA",2/11/12,79.1,53,65.7,,,0,,9.2,,9.9,42.9,26.31,Partially cloudy
"85008, USA",2/12/12,66.8,53.9,60.8,,,0,,15,,9.9,51.7,33.7,Partially cloudy
"85008, USA",2/13/12,65.9,47.9,58.5,44.2,,0,,11.4,,9.9,66.7,41.56,Partially cloudy
"85008, USA",2/14/12,60.2,47,54.4,43.6,,0,,16.1,,9.9,78.3,48.46,Overcast
"85008, USA",2/15/12,64.1,42.2,53.2,37.8,,0,,10.3,,9.9,43.8,51.05,Partially cloudy
"85008, USA",2/16/12,68.1,44.9,57.2,42.4,,0,,13.9,,9.9,60,38.22,Partially cloudy
"85008, USA",2/17/12,68.1,48.8,58.4,48,,0,,11.4,,9.9,34.2,44.46,Partially cloudy
"85008, USA",2/18/12,69.2,44.9,57.6,40.5,,0,,8.1,,9.9,25.4,43.35,Partially cloudy
"85008, USA",2/19/12,65.9,47,57.5,44.2,,0,,18.3,,9.9,66.7,38.14,Partially cloudy
"85008, USA",2/20/12,69.2,47,58,44.9,,0,,11.4,,9.9,53.3,33.49,Partially cloudy
"85008, USA",2/21/12,74,44.9,59.8,43.5,,0,,8.1,,9.9,31.7,25.37,Partially cloudy
"85008, USA",2/22/12,75.8,47.9,61.9,44.7,,0,,8.1,,9.9,55,21.9,Partially cloudy
"85008, USA",2/23/12,77.1,50.1,64.1,,,0,,10.3,,9.9,47.9,24.8,Partially cloudy
"85008, USA",2/24/12,79.1,51.2,65.9,,,0,,6.9,,9.9,12.5,22.51,Clear
"85008, USA",2/25/12,78.2,52.1,65,,,0,,10.3,,9.9,8.8,21.18,Clear
"85008, USA",2/26/12,79.1,50.1,65.6,,,0,,9.2,,9.9,30,22.59,Partially cloudy
"85008, USA",2/27/12,78.2,56,65.1,,,0,,24.2,36.9,9.9,34.2,27.73,Partially cloudy
"85008, USA",2/28/12,62,48.8,55.1,42.4,,0,,18.3,38,9.9,57.9,38.39,Partially cloudy
"85008, USA",2/29/12,69.2,44.9,56.6,42.4,,0,,8.1,,9.9,31.7,32.44,Partially cloudy
"85008, USA",3/1/12,70.1,47,58.5,42.7,,0,,12.8,,9.9,18.8,31.49,Clear
"85008, USA",3/2/12,68.1,52.1,59.5,,,0,,21.9,36.9,9.9,0,17.99,Clear
"85008, USA",3/3/12,71,44.9,58.7,41.7,,0,,10.3,,9.9,0,12.66,Clear
"85008, USA",3/4/12,80.9,50.1,65.8,,78.8,0,,8.1,,9.9,1.3,17.5,Clear
"85008, USA",3/5/12,83.9,53,68.7,,81.1,0,,8.1,,9.9,75.4,19.62,Overcast
"85008, USA",3/6/12,86.1,53.9,69.2,,82.8,0,,26.4,34.4,9.9,51.7,18.42,Partially cloudy
"85008, USA",3/7/12,65.9,48.8,56.1,43.7,,0,,18.3,30,9.9,29.2,20.97,Partially cloudy
"85008, USA",3/8/12,71,44.9,58.4,40.5,,0,,11.4,,9.9,15,25.92,Clear
"85008, USA",3/9/12,73.1,52.1,64.3,,,0,,13.9,,9.9,38.3,21.1,Partially cloudy
"85008, USA",3/10/12,71,53.9,62.7,,,0,,12.8,,9.9,33.8,24.42,Partially cloudy
"85008, USA",3/11/12,77.1,51.2,64.6,,,0,,10.3,,9.9,47.1,23.13,Partially cloudy
"85008, USA",3/12/12,82.1,53,67.4,,79.7,0,,9.2,,9.9,11.3,16.33,Clear
"85008, USA",3/13/12,82.1,52.1,68.2,,79.7,0,,10.3,,9.7,14.2,12.68,Clear
"85008, USA",3/14/12,82.1,53,68.2,,79.7,0,,8.1,,9.9,16.3,13.5,Clear
"85008, USA",3/15/12,83.9,53.9,70.5,,81.1,0,,10.3,,9.9,5,14.07,Clear
"85008, USA",3/16/12,84.8,56,71.2,,81.8,0,,9.2,,9.9,22.9,15.38,Clear
"85008, USA",3/17/12,80.9,57.8,68.4,,79.1,0,,20.8,33.3,9.9,74.2,24.42,Partially cloudy
"85008, USA",3/18/12,62.9,44.9,50.2,36.7,,0.25,,25.3,58.6,9.7,90.4,68.81,"Rain, Overcast"
"85008, USA",3/19/12,56.9,44.9,51,43.2,,0,,16.1,,9.9,74.2,46.91,Partially cloudy
"85008, USA",3/20/12,65.9,43.1,54.7,40.3,,0,,11.4,,9.9,12.5,41.16,Clear
"85008, USA",3/21/12,74.9,48.8,61.6,47,,0,,10.3,,9.9,17.5,35.48,Clear
"85008, USA",3/22/12,83,53.9,69,,80.5,0,,8.1,,9.9,5,32.44,Clear
"85008, USA",3/23/12,84.8,57.8,72.7,,81.7,0,,10.3,,9.9,3.8,26.68,Clear
"85008, USA",3/24/12,87.2,60.2,74.2,,83.6,0,,8.1,,9.9,60,22.87,Partially cloudy
"85008, USA",3/25/12,83.9,61.1,72.6,,81,0,,20.8,32.2,9.9,80.8,25.81,Overcast
"85008, USA",3/26/12,73.1,56.9,66,,,0,,11.4,,9.9,17.1,37.14,Clear
"85008, USA",3/27/12,82.1,56,69.8,,79.8,0,,11.4,,9.9,3.8,28.72,Clear
"85008, USA",3/28/12,84.8,57.8,72.4,,81.7,0,,11.4,,9.9,17.5,21.67,Clear
"85008, USA",3/29/12,84.8,60.2,73.2,,81.7,0,,10.3,,9.9,50.4,20.18,Partially cloudy
"85008, USA",3/30/12,88.1,62,75.9,,84.3,0,,8.1,,9.9,54.2,20.67,Partially cloudy
"85008, USA",3/31/12,92.9,64.1,78.5,,88.4,0,,18.3,,9.9,32.1,20.26,Partially cloudy
"85008, USA",4/1/12,74.9,62.9,69,,,0,,24.2,33.3,9.9,10,22.21,Clear
"85008, USA",4/2/12,73.1,56.9,65.1,,,0,,16.1,31.1,9.9,19.6,14.14,Clear
"85008, USA",4/3/12,79.1,53,66.8,,,0,,11.4,,9.9,16.3,15.51,Clear
"85008, USA",4/4/12,82.1,56.9,70.9,,79.7,0,,9.2,,9.9,68.3,16.69,Partially cloudy
"85008, USA",4/5/12,87.2,60.2,74.3,,83.7,0,,16.1,,9.9,70.8,15.96,Partially cloudy
"85008, USA",4/6/12,80,62.9,71.9,,,0,,12.8,,9.9,46.3,13.1,Partially cloudy
"85008, USA",4/7/12,88.1,57.8,73.3,,84.7,0,,8.1,,9.9,70.4,10.92,Partially cloudy
"85008, USA",4/8/12,89.9,61.1,77,,86,0,,9.2,,9.9,67.5,11.92,Partially cloudy
"85008, USA",4/9/12,92.9,65,79.3,,88.4,0,,9.2,,9.9,73.3,13.41,Partially cloudy
"85008, USA",4/10/12,92,65,78.7,,87.7,0,,23,,9.9,57.9,14.89,Partially cloudy
"85008, USA",4/11/12,75.8,65.9,71,,,0,,19.7,30,9.9,52.1,30.32,Partially cloudy
