,Accession Planting,Status,Inventory Year
7119,2012-0254-01-10,Dead,2013
7124,2012-0254-01-1,Dead,2013
13275,1978-0500-01-1,Dead,2013
11204,1987-0156-01-5,Dead,2013
13400,1977-0387-01-2,Dead,2013
6886,2012-0254-01-31,Dead,2013
7085,2012-0254-01-14,Dead,2013
1859,2013-0266-01-15,Dead,2013
7089,2012-0254-01-13,Dead,2013
6731,2012-0254-01-44,Dead,2013
13710,1976-0235-01-1,Dead,2013
7035,2012-0254-01-2,Dead,2013
1171,2014-0302-01-1,Dead,2014
6614,2012-0254-01-9,Dead,2014
8376,2012-0065-01-50,Dead,2014
8934,2008-0149-01-1,Dead,2014
11182,1987-0156-01-7,Dead,2014
3348,2012-0315-01-42,Dead,2015
2820,2013-0013-01-5,Dead,2015
10892,1990-0214-01-5,Dead,2015
2380,2013-0063-01-38,Dead,2015
12951,1980-0278-01-2,Dead,2015
2198,2013-0064-01-5,Dead,2015
1684,2013-1093-01-2,Dead,2015
13822,1966-8304-01-1,Dead,2015
10715,1990-0886-01-1,Dead,2015
2651,2013-0063-01-18,Dead,2015
3595,2012-0315-01-21,Dead,2015
3882,2012-0314-01-44,Dead,2015
6650,2012-0254-01-6,Dead,2015
8268,2012-0065-01-59,Dead,2015
6579,2012-0280-01-11,Dead,2015
7778,2012-0065-01-97,Dead,2015
11212,1987-0156-01-4,Dead,2015
6928,2012-0254-01-28,Dead,2015
8749,2012-0065-01-21,Dead,2015
11130,1987-0600-01-2,Dead,2015
8605,2012-0065-01-32,Dead,2015
11320,1987-0156-01-25,Dead,2016
10733,1990-0350-01-7,Dead,2016
10584,1991-0210-01-10,Dead,2016
10582,1991-0210-01-12,Dead,2016
12235,1985-0254-01-15,Dead,2016
10841,1990-0350-01-1,Dead,2016
12232,1985-0254-01-16,Dead,2016
12238,1985-0254-01-14,Dead,2016
12029,1985-0254-01-32,Dead,2016
12736,1982-0006-06-17,Dead,2016
12115,1985-0254-01-26,Dead,2016
12816,1981-0042-01-9,Dead,2016
12904,1980-0369-01-2,Dead,2016
12819,1981-0042-01-7,Dead,2016
12918,1980-0279-01-4,Dead,2016
11723,1987-0009-01-1,Dead,2016
12931,1980-0279-01-2,Dead,2016
