,Accession Planting,Status,Inventory Year
73,2019-0188-01-12,Dead,2019
80,2019-0142-01-2,Dead,2020
403,2018-0026-01-5,Dead,2019
740,2016-0042-01-4,Dead,2018
741,2016-0042-01-4,Dead,2018
759,2016-0042-01-12,Dead,2019
792,2015-8888-01-1,Dead,2019
794,2015-8888-01-1,Dead,2019
840,2015-0152-01-1,Dead,2017
1001,2015-0151-01-10,Dead,2016
1138,2014-0403-01-1,Dead,2020
1171,2014-0302-01-1,Dead,2014
1207,2014-0149-01-8,Dead,2020
1677,2013-1313-01-1,Dead,2016
1684,2013-1093-01-2,Dead,2015
1717,2013-0266-01-8,Dead,2017
1858,2013-0266-01-15,Dead,2013
1859,2013-0266-01-15,Dead,2013
1920,2013-0266-01-10,Dead,2020
1929,2013-0266-01-1,Dead,2017
1930,2013-0266-01-1,Dead,2017
2179,2013-0109-01-1,Dead,2019
2198,2013-0064-01-5,Dead,2015
2380,2013-0063-01-38,Dead,2015
2651,2013-0063-01-18,Dead,2015
2820,2013-0013-01-5,Dead,2015
2854,2013-0013-01-19,Dead,2017
2855,2013-0013-01-18,Dead,2017
2856,2013-0013-01-17,Dead,2017
3250,2012-0315-01-50,Dead,2018
3251,2012-0315-01-50,Dead,2018
3320,2012-0315-01-45,Dead,2018
3330,2012-0315-01-44,Dead,2019
3348,2012-0315-01-42,Dead,2015
3408,2012-0315-01-37,Dead,2012
3411,2012-0315-01-37,Dead,2014
3422,2012-0315-01-36,Dead,2020
3595,2012-0315-01-21,Dead,2015
3727,2012-0315-01-11,Dead,2020
3854,2012-0314-01-47,Dead,2018
3882,2012-0314-01-44,Dead,2015
3883,2012-0314-01-44,Dead,2015
4016,2012-0314-01-33,Dead,2017
4017,2012-0314-01-33,Dead,2017
4184,2012-0314-01-2,Dead,2012
4185,2012-0314-01-2,Dead,2013
4277,2012-0314-01-12,Dead,2020
5212,2012-0312-01-29,Dead,2017
5530,2012-0307-01-49,Dead,2020
6042,2012-0282-01-1,Dead,2012
6043,2012-0282-01-1,Dead,2012
6115,2012-0280-01-5,Dead,2017
6116,2012-0280-01-5,Dead,2017
6207,2012-0280-01-41,Dead,2012
6335,2012-0280-01-30,Dead,2012
6346,2012-0280-01-3,Dead,2018
6480,2012-0280-01-19,Dead,2012
6481,2012-0280-01-19,Dead,2013
6579,2012-0280-01-11,Dead,2015
6614,2012-0254-01-9,Dead,2014
6650,2012-0254-01-6,Dead,2015
6708,2012-0254-01-47,Dead,2020
6730,2012-0254-01-44,Dead,2013
6731,2012-0254-01-44,Dead,2013
6732,2012-0254-01-44,Dead,2013
6733,2012-0254-01-44,Dead,2013
6775,2012-0254-01-40,Dead,2017
6882,2012-0254-01-31,Dead,2013
6883,2012-0254-01-31,Dead,2013
6884,2012-0254-01-31,Dead,2013
6885,2012-0254-01-31,Dead,2013
6886,2012-0254-01-31,Dead,2013
6928,2012-0254-01-28,Dead,2015
7035,2012-0254-01-2,Dead,2013
7073,2012-0254-01-17,Dead,2018
7077,2012-0254-01-16,Dead,2017
7081,2012-0254-01-15,Dead,2017
7085,2012-0254-01-14,Dead,2013
7089,2012-0254-01-13,Dead,2013
7112,2012-0254-01-11,Dead,2016
7113,2012-0254-01-11,Dead,2018
7119,2012-0254-01-10,Dead,2013
7124,2012-0254-01-1,Dead,2013
7140,2012-0214-01-8,Dead,2012
7181,2012-0214-01-50,Dead,2016
7286,2012-0214-01-43,Dead,2019
7480,2012-0214-01-29,Dead,2019
7630,2012-0214-01-18,Dead,2016
7641,2012-0214-01-17,Dead,2018
7702,2012-0214-01-12,Dead,2019
7703,2012-0214-01-12,Dead,2019
7778,2012-0065-01-97,Dead,2015
8022,2012-0065-01-79,Dead,2019
8175,2012-0065-01-66,Dead,2016
8198,2012-0065-01-64,Dead,2018
8268,2012-0065-01-59,Dead,2015
